iter	Passed	Remaining
909	3905	386
910	3908	381
911	3911	377
912	3914	373
913	3917	368
914	3937	365
915	3941	361
916	3944	357
917	3947	352
918	3951	348
919	3954	343
920	3957	339
921	3960	335
922	3963	330
923	3966	326
924	3972	322
925	3975	317
926	3978	313
927	3981	308
928	3984	304
929	3987	300
930	3991	295
931	3994	291
932	3997	287
933	4006	283
934	4009	278
935	4013	274
936	4016	270
937	4020	265
938	4023	261
939	4026	256
940	4029	252
941	4034	248
942	4038	244
943	4041	239
944	4044	235
945	4050	231
946	4066	227
947	4069	223
948	4072	218
949	4075	214
950	4078	210
951	4081	205
952	4099	202
953	4102	197
954	4106	193
955	4109	189
956	4112	184
957	4135	181
958	4138	176
959	4141	172
960	4145	168
961	4164	164
962	4167	160
963	4170	155
964	4173	151
965	4177	147
966	4194	143
967	4197	138
968	4200	134
969	4209	130
970	4212	125
971	4227	121
972	4230	117
973	4234	113
974	4241	108
975	4260	104
976	4263	100
977	4266	95
978	4269	91
979	4271	87
980	4274	82
981	4277	78
982	4281	74
983	4283	69
984	4286	65
985	4289	60
986	4293	56
987	4295	52
988	4298	47
989	4301	43
990	4305	39
991	4308	34
992	4311	30
993	4314	26
994	4316	21
995	4320	17
996	4323	13
997	4326	8
998	4329	4
999	4332	0
